group,pre,post
1,12.264858355350702,14.642281485826853
0,9.927449994409082,10.247109509774678
1,11.143182680959526,13.208891968269526
1,11.581027267217818,13.176653832648514
0,10.212011893570054,9.588953081804807
0,10.099040162649114,10.485018086502661
0,9.848261857556366,10.17443467781112
0,11.248891593197538,11.44914346555337
0,9.988520810244031,9.982947871444773
1,11.617199990961508,13.968112204434641
1,11.357258461761651,13.086386661748689
1,11.443642992680244,14.117123920581372
1,12.418698299591519,14.556239848432652
1,11.08695058268037,13.75020247980409
1,11.903073922037589,14.37467647038186
0,8.259941992017877,8.24264463958351
1,11.260206775093495,13.38839323219005
0,8.84328240290688,8.991555943487812
1,12.833944746113795,14.237136574260715
0,8.243694198122864,8.167157809735029
0,9.549873086453907,9.482137435602832
0,7.835284682165309,7.612336136673208
1,12.88752541631879,14.20156778126195
0,9.292511464335078,9.523798988308581
0,6.719488929307644,6.828074824534081
0,12.034900617958858,11.972499594137854
1,12.8017475187411,15.201569801046992
1,11.192165456103698,12.538373263956393
0,9.218026719316452,9.030263180794165
0,9.794321887202216,10.198486677176872
1,11.20016101928247,12.824166571584524
1,11.810122517971482,14.126998873357666
1,12.113003771192073,14.036824795467137
0,9.853702428392674,10.134049576701152
1,11.581812146609074,13.07485589712462
0,11.44840652163122,11.69112926558477
0,9.349158155658037,9.500824731689992
1,12.307317701635883,14.032196697704606
1,11.521163845772623,13.538391033781803
0,10.009662624335466,9.887190209442021
0,9.033281858777084,9.338886734860036
1,11.807639539107594,13.685887202945342
1,12.261871954119055,14.28611940629696
1,11.689690609394821,13.76124483586917
0,8.911128292748554,8.993488979563084
1,13.986389194790188,15.995992132088245
1,11.45153204238965,14.049822896509092
0,10.627081564978075,11.355650937465569
1,11.480296147929169,13.20034610034534
0,10.58098947444771,10.206358987350022
1,11.648239555454863,14.089331157975257
0,10.981675527174431,11.055058766740057
0,10.50965455054716,11.04747252077189
0,10.625315126287015,10.318955841019823
1,11.554557224238774,12.85449149777984
0,10.900812128840057,11.6259543261164
1,11.854010777811842,13.489847911072802
1,12.817650208204363,14.870388232209867
1,10.848033033225063,12.839913751596841
0,10.966934906053474,10.813747590173843
0,10.520610302205263,10.796120263549959
0,10.809431727759202,11.12251292573233
1,12.317390921086742,14.945538687160642
0,9.030030538887935,9.561708783696691
0,9.693392158056453,10.018650351124018
0,9.76386068297627,9.688878210224578
0,9.467777687386512,9.344090442163484
1,10.904517888189673,12.297713114527422
1,11.905084055656603,13.759863062869309
0,6.369206844201461,5.77845021451916
0,8.894134569538416,8.254637265417841
0,9.594751482931796,10.118800810581622
1,12.058985852615915,14.667351520008605
0,10.238595428637137,10.791232399316057
1,12.158784012936945,14.054015730061467
0,9.814345081491227,10.601782581217433
1,12.141122803262492,14.656980603576939
0,9.227043335151656,9.426941715795842
0,9.903178883200862,8.765326384529072
0,10.126966921640609,9.489665602782823
1,11.13588268952632,12.876322536297383
1,11.300107989923264,13.327382871088595
1,13.272978942338987,15.585840771500374
0,9.14906665334288,9.296816374189518
1,13.393604977690963,14.675487876788951
