date,zipcode,is_campaign,is_weekend,is_weekday,norm_trend,population,strength,variant,is_campaign_treatment,order_rate_true_logit,order_rate_true_logit_no_treatment,order_rate_true,order_rate_true_no_treatment,orders,orders_no_treatment,order_rate,order_rate_no_treatment,expected_orders
2022-04-01,0,False,False,True,0.0,3188,1,treatment,False,-1.75,-1.75,0.14804719803168948,0.14804719803168948,500,468,0.15683814303638646,0.1468005018820577,471.97446732502607
2022-04-01,1,False,False,True,8.197393228953193e-05,10054,1,treatment,False,-1.7499950815640624,-1.7499950815640624,0.14804781839127729,0.14804781839127729,1521,1505,0.15128307141436245,0.14969166500895167,1488.4727661059019
2022-04-01,2,False,False,True,0.00016394786457906387,31881,1,treatment,False,-1.7499901631281252,-1.7499901631281252,0.1480484387530128,0.1480484387530128,4756,4703,0.1491797622408331,0.1475173300712023,4719.932275884801
2022-04-01,3,False,False,True,0.0002459217968685958,2513,1,treatment,False,-1.7499852446921877,-1.7499852446921877,0.14804905911689611,0.14804905911689611,364,375,0.14484679665738162,0.14922403501790688,372.0472855607599
2022-04-01,4,False,False,True,0.00032789572915812773,7559,1,treatment,False,-1.7499803262562503,-1.7499803262562503,0.1480496794829272,0.1480496794829272,1121,1096,0.1483000396877894,0.14499272390527848,1119.1075272114467
2022-04-01,5,False,False,True,0.00040986966144765965,34460,1,treatment,False,-1.7499754078203131,-1.7499754078203131,0.14805029985110602,0.14805029985110602,5170,5039,0.15002901915264075,0.14622751015670343,5101.813332869113
2022-04-01,6,False,False,True,0.0004918435937371916,2504,1,treatment,False,-1.7499704893843755,-1.7499704893843755,0.14805092022143265,0.14805092022143265,391,390,0.15615015974440893,0.15575079872204473,370.71950423446737
2022-04-01,7,False,False,True,0.0005738175260267235,12084,1,treatment,False,-1.7499655709484383,-1.7499655709484383,0.148051540593907,0.148051540593907,1845,1754,0.15268123138033762,0.14515061238000662,1789.054816536772
2022-04-01,8,False,False,True,0.0006557914583162555,16299,1,treatment,False,-1.7499606525125009,-1.7499606525125009,0.14805216096852916,0.14805216096852916,2428,2362,0.1489661942450457,0.14491686606540277,2413.1021716260566
2022-04-01,9,False,False,True,0.0007377653906057874,2652,1,treatment,False,-1.7499557340765635,-1.7499557340765635,0.14805278134529912,0.14805278134529912,405,382,0.15271493212669685,0.14404223227752638,392.6359761277333
2022-04-01,10,False,False,True,0.0008197393228953193,11045,1,treatment,False,-1.7499508156406263,-1.7499508156406263,0.1480534017242168,0.1480534017242168,1619,1628,0.1465821638750566,0.14739701222272522,1635.2498220439745
2022-04-01,11,False,False,True,0.0009017132551848513,34169,1,treatment,False,-1.7499458972046888,-1.7499458972046888,0.14805402210528232,0.14805402210528232,5077,5157,0.14858497468465567,0.15092627820539084,5058.857881315392
2022-04-01,12,False,False,True,0.0009836871874743833,8726,1,treatment,False,-1.7499409787687514,-1.7499409787687514,0.14805464248849562,0.14805464248849562,1324,1256,0.15173046069218427,0.14393765757506302,1291.9248103546129
2022-04-01,13,False,False,True,0.0010656611197639152,13573,1,treatment,False,-1.749936060332814,-1.749936060332814,0.14805526287385673,0.14805526287385673,1929,1936,0.1421203860605614,0.14263611581816843,2009.5540829868573
2022-04-01,14,False,False,True,0.001147635052053447,39709,1,treatment,False,-1.7499311418968766,-1.7499311418968766,0.14805588326136565,0.14805588326136565,5781,5944,0.14558412450577954,0.14968898738321287,5879.151068425569
2022-04-01,15,False,False,True,0.001229608984342979,2112,1,treatment,False,-1.7499262234609394,-1.7499262234609394,0.14805650365102233,0.14805650365102233,334,288,0.1581439393939394,0.13636363636363635,312.69533571095917
2022-04-01,16,False,False,True,0.001311582916632511,15596,1,treatment,False,-1.749921305025002,-1.749921305025002,0.14805712404282684,0.14805712404282684,2301,2335,0.1475378302128751,0.1497178763785586,2309.0989065719273
