time,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,t1,t2,t3,t4
2019-01-06,5.056542063694036,2.9657873433453443,2.961985408243531,2.366367752663035,1.001006919441891,2.8697648855663016,1.9022704894824456,1.0329637548216957,4.158447884851078,2.060237130144774,3.848585149655541,2.795793782844532,3.017945612124932,2.6519786414613415,3.013979086224545,2.3592123285991136
2019-01-13,5.142779742197034,3.057509892587056,2.8859470644893754,2.39554538542039,0.9240809885708561,3.1585472621589537,1.8503901143460681,0.8334831715027888,4.121293008818943,1.9343239029874884,3.833499856170345,2.8903261935366085,2.914653106322808,2.4433048571653977,3.148597461384081,2.1434076314124937
2019-01-20,5.093812576089838,3.203047525871611,2.843206006852071,2.431114167275022,0.9738306886024114,3.1817456537220745,1.8023143696725636,1.1518215634728906,4.082244105695345,2.1370927569806177,3.8190312624753826,2.9205587791170955,3.00424827934589,2.5012779312853177,3.094650384049216,2.323577887449746
2019-01-27,5.212512729658162,3.1756682128805602,2.8973448962077177,2.1389797719805896,0.7521846913232502,3.1353383753468784,1.9738276250406273,1.0894031858042221,4.096773511908966,2.1091090100275767,3.8679045411668547,2.811436534618144,3.0226467056508692,2.496051992717183,3.1190740415088403,2.1962871444618637
2019-02-03,4.8557727763166625,3.1363915295550915,2.8065274267357254,2.307915052102012,0.6147931769076393,3.3595796816585026,1.9962097789846598,1.1302421608181943,4.210661471018771,2.0324565524379636,3.8708519380068753,2.972000169973423,2.9760023951750862,2.4113996568359894,3.072092586465282,2.2504102365099596
2019-02-10,4.820734465303678,3.0343286170166324,2.8840523826981355,2.0652130650643645,0.5259956078722561,3.0489038756347773,1.8357004771248604,1.296584587964428,4.2305545562508415,2.245258767857847,3.551917871433673,2.797909576510125,2.811761252366315,2.4088584913557987,2.970037714961459,2.206426251113446
2019-02-17,4.849795960539527,3.0984830922047712,2.84037174006581,2.0434110965420706,0.34774524812575014,2.9152911272316633,1.6447231848267907,1.2288762980807773,4.42270709879676,2.195856198778192,3.640038540984115,2.7612604475599283,2.9342321808971623,2.4220384367938688,2.7802385338501763,2.2056724194424975
2019-02-24,4.840194900858556,3.0303062619847605,2.7562246775084027,2.1331662884742593,0.3776024261259433,2.9277725393403515,1.5371882027392196,1.454963587978674,4.159746067004351,2.276186797091321,3.7293636156998593,2.9840261010912625,2.860017173992231,2.46849535531157,2.9125560940729187,2.2083227983684353
2019-03-03,4.454673688938549,3.083005193591191,2.6189523325882615,2.1726943634048923,0.0,2.863581004984992,1.868826398264322,1.0587533571494836,4.35057335988694,2.399747747907817,3.5825683669533244,3.03273941152987,2.938552222845115,2.4372249664942935,2.861428863172327,2.247480149802353
2019-03-10,4.435926974679781,2.925887000395555,2.555151280327798,2.2811062955520147,0.026402798597167654,2.8992309781752352,1.8101181740853518,1.1048555659200152,4.333560266244872,2.478830073461959,3.8666066402510424,3.0874917909141706,2.7813039831968336,2.181386599835342,2.570957107416151,2.1253898924680774
2019-03-17,4.447067191030325,2.904860270899684,2.357421929816055,2.222334181109203,0.0,2.7792066280080756,1.6681257704121228,1.1246016389997353,4.212106804608771,2.492696213028664,3.5901784314117986,2.8889162799966948,2.6502559520974187,2.229744114318867,2.7961909735302855,2.3041754234849057
2019-03-24,4.219049507044148,2.9901065102079225,2.366968672412226,2.173283824687023,0.0,2.649403816320245,1.502248165805648,1.1871916066918553,4.2532882296059205,2.552726174866352,3.578625944391902,2.9381758635608666,2.687053370411903,2.3136726034844703,2.7210073376511508,2.2228714644311376
2019-03-31,4.291759061901804,2.944336937367949,2.176647299646398,2.2947827610704166,0.0,2.6787225939622625,1.4666931628221649,0.9186416183845871,4.172522880587578,2.544673866473778,3.633599811035951,3.0868114949727388,2.9130018743004666,2.4311888748010806,2.723869013331323,2.012580082944662
