group,t,unit,treated,y
0,0.0,0,0,1.037235444367556
0,1.0,0,0,2.1803326054240513
1,0.0,1,0,1.1815211596102946
1,1.0,1,1,2.5731948057471734
0,0.0,2,0,1.237781412485492
0,1.0,2,0,2.064583683807223
1,0.0,3,0,1.186896528144606
1,1.0,3,1,2.7215532618312173
0,0.0,4,0,1.0649519874697355
0,1.0,4,0,1.9612022680643093
1,0.0,5,0,1.2657299075634194
1,1.0,5,1,2.5508204631468674
0,0.0,6,0,0.8947560664459198
0,1.0,6,0,2.227724135358723
1,0.0,7,0,1.3074586207263057
1,1.0,7,1,2.6021177943564844
0,0.0,8,0,1.1845042721745236
0,1.0,8,0,2.1371357945762255
1,0.0,9,0,1.277659512523703
1,1.0,9,1,2.7971363729134455
0,0.0,10,0,0.948046520978673
0,1.0,10,0,1.9911586181231065
1,0.0,11,0,1.2956793345692803
1,1.0,11,1,2.714212580309264
0,0.0,12,0,1.0840699944593897
0,1.0,12,0,1.9949161598698812
1,0.0,13,0,1.279213688044527
1,1.0,13,1,2.781563007268219
0,0.0,14,0,0.9987011891791635
0,1.0,14,0,1.8914366349764102
1,0.0,15,0,1.2112578927664674
1,1.0,15,1,2.7420363802422196
0,0.0,16,0,0.993752136853551
0,1.0,16,0,2.272692180324228
1,0.0,17,0,1.1786513493076058
1,1.0,17,1,2.69965381847017
0,0.0,18,0,1.0980883419399656
0,1.0,18,0,1.9685015295514094
1,0.0,19,0,1.3616585803269048
1,1.0,19,1,2.591156615919988
