time,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech_Republic,Denmark
2019-01-06,2.753831215279409,4.970360605758309,3.750201421892318,2.9726398419157714,4.208258936840477,1.4684035480139652,3.1853432556596832
2019-01-13,2.883953998980822,5.046488923631396,3.672534072579013,3.1800939733590825,4.137995274757965,1.3893920841855412,3.123058831260743
2019-01-20,2.707383379786602,5.114825964781606,3.523791805496692,3.2069070238568997,4.229784533110045,1.3098608806648013,3.1246968289499764
2019-01-27,2.7548550042854156,5.185903925210769,3.3583554714283217,3.1035749395372485,4.332231496884775,1.3975860589795357,3.002023516408394
2019-02-03,2.587112366211071,5.04623609455683,3.3443742638370804,3.0362070092510267,4.257208973174626,1.387475063421704,3.000075722094458
2019-02-10,2.561324174105938,4.872818502511042,3.3767429633594133,3.1641012222814915,4.495101355667074,1.2482004769849013,3.1854113677648117
2019-02-17,2.451164338667253,5.077933031507454,3.29322294497764,3.1866370162775897,4.424417271863428,1.2685552753913965,2.999347488890724
2019-02-24,2.5260721828676544,4.905868585346606,3.424262168298773,2.955399041934452,4.630830286649379,1.3494510235025965,3.005714562044089
2019-03-03,2.498100301674488,4.89343095062164,3.3408313986417246,2.9127442131423575,4.781806259667615,1.4232126442496922,2.900553218283833
2019-03-10,2.3713140387105893,4.72257129609328,3.2531503654639136,3.1613157418917788,4.837687100008281,1.33709661718289,3.2009727698544923
2019-03-17,2.3988828214034563,4.724833937094632,3.3150199416154282,3.0611792813451313,4.95743356881328,1.373764584058685,3.1318153630080823
2019-03-24,2.5457245491313785,4.5689949728758545,3.3884152140512755,3.17223671505013,5.139143026178554,1.5450539610990854,2.9889597425069208
2019-03-31,2.6196183844796437,4.539365794472169,3.479453094932459,3.130993068453034,5.206849577710943,1.3246182922017966,3.394080763466048
2019-04-07,2.8806633581206995,4.363615154563443,3.4800719861061475,3.191812079150325,5.013166388321048,1.466604182348766,3.246142968679838
2019-04-14,2.6464384897527573,4.292293362604978,3.483413291340149,3.117102987432796,5.2436950952394605,1.596122832913987,3.1935308847490065
